geometry,stable_coefficients,rho_train,seed,config_id,config_hash,family,capacity_tier,capacity_tier_score,boundary_fidelity,fit_seconds,warning_count,warning_messages
baseline,"[1.2, -1.0, 0.8]",0.5,2,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.98875,0.2850837999721989,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.988,0.17452669999329373,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.98475,0.7542137000127696,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.9055,0.5343216999899596,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.9515,0.6213683999958448,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,RF-H,7ff7f8153ba561892eb3cfceb961e6a4c2bf8946870c60775c3bfce39fbaf2f9,random_forest,high,1.0,0.96525,0.7680009999894537,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,HGB-L,67769b8c901577287f7c69e46ea16a110fbcab250556e6c9ee68848fdafe1020,gradient_boosting,low,0.0,0.9645,0.2801169999875128,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,HGB-M,2d985fd608b45e3358b349990cabdc1f6ba1762a96e3f4ecf6a7596687075e1f,gradient_boosting,medium,0.5,0.96525,1.6810524000320584,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,HGB-H,e48f60055c364417c78405d739a17860d6e752f2fc096ea1f14f2b30f76dde1e,gradient_boosting,high,1.0,0.9645,4.014438099984545,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,MLP-L,cf054be6f8198498238d75783b4261fc719b2300545c3ec57821015192487ce8,mlp,low,0.0,0.9765,0.27132180001353845,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,MLP-M,22caf9c6783beb7ef5313eeda008a6c74091af4d4ec3b2f9a80c796f31fc80c5,mlp,medium,0.5,0.99325,0.36962319997837767,0,
baseline,"[1.2, -1.0, 0.8]",0.5,2,MLP-H,5d197816eeb622fc60ae6d2ceb820addf08e9a7cafa95fd016fcc47c1733d867,mlp,high,1.0,0.9955,0.5279906999785453,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,LR-L,1d2a1642b5cc9ffeec4e67e117c0a2ab4fd6a563b127af2c2fb9c9262e90d737,logistic_regression,low,0.0,0.98625,0.0101015999680385,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,LR-M,2f0277ba6749dc50e77a697ebcae33e3932a27b63e857544fc1ec7f72f723bce,logistic_regression,medium,0.5,0.987,0.010922099987510592,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,LR-H,7b1c2ec5fbbfbbdee64cc420019e5c8a9abaac2c5fc3f68515c1e2c1fa714d43,logistic_regression,high,1.0,0.99125,0.011924299993552268,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,SVM-L,3fbd371b0e2cef95735dd4da149551608834096e78275a14901c17ac75cb096e,rbf_svm,low,0.0,0.99025,0.10304340004222468,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,SVM-M,9db1d2bf313ca7ba2163130db40ea44518e99de2cc5a6c1b05d6c5c600e866d4,rbf_svm,medium,0.5,0.98025,0.09288489999016747,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,SVM-H,405d3f89ec540b5d9527e4410c3337cad0e3f8b2cd09be2fa431cfc7a19bc06a,rbf_svm,high,1.0,0.97625,0.46584630000870675,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,RF-L,c0f016366401e1557f071472bcb386b5eb2aff8542b2c2766d492e6f207fd133,random_forest,low,0.0,0.8735,0.49592049996135756,0,
baseline,"[1.2, -1.0, 0.8]",0.9,2,RF-M,5a017704fedc5eeaa5bfa51b469c2790db92ae9033f8403d454222bd9ca5b60a,random_forest,medium,0.5,0.873,0.5962053000112064,0,
